,Entry,Exit,Type,PnL,Duration_Days,Avg_Size,Pair
11,2023-03-07 05:00:00+00:00,2023-03-10 05:00:00+00:00,Short,0.020811531965642994,3,0.9664120061837519,BRK.B-AMZN
12,2023-03-20 04:00:00+00:00,2023-04-03 04:00:00+00:00,Long,0.0064127443340149855,14,0.6588978720485797,BRK.B-AMZN
13,2023-05-25 04:00:00+00:00,2023-06-08 04:00:00+00:00,Long,0.001844938407320744,14,1.160256520207981,BRK.B-AMZN
14,2023-07-25 04:00:00+00:00,2023-08-15 04:00:00+00:00,Short,0.09578390981813038,21,1.292467756179498,BRK.B-AMZN
15,2023-09-19 04:00:00+00:00,2023-10-02 04:00:00+00:00,Short,-0.08064264300619417,13,1.7266812215599063,BRK.B-AMZN
16,2023-12-22 05:00:00+00:00,2023-12-29 05:00:00+00:00,Long,0.016306175146627286,7,1.3154553221679646,BRK.B-AMZN
17,2023-03-20 04:00:00+00:00,2023-04-04 04:00:00+00:00,Short,0.007122790767297764,15,0.4767413422506225,GOOG-BRK.B
18,2023-05-24 04:00:00+00:00,2023-06-08 04:00:00+00:00,Short,0.016144560722981826,15,0.5420220760102915,GOOG-BRK.B
19,2023-07-21 04:00:00+00:00,2023-07-27 04:00:00+00:00,Long,0.041836930291237015,6,0.5378310619924719,GOOG-BRK.B
20,2023-09-21 04:00:00+00:00,2023-09-28 04:00:00+00:00,Long,-0.004969733782476209,7,0.7061447215807933,GOOG-BRK.B
21,2023-10-02 04:00:00+00:00,2023-10-26 04:00:00+00:00,Short,0.005125446423395359,24,0.6375058340858452,GOOG-BRK.B
22,2023-12-22 05:00:00+00:00,2023-12-29 05:00:00+00:00,Short,0.0030889350737762842,7,0.5484227927610247,GOOG-BRK.B
0,2023-03-07 05:00:00+00:00,2023-03-15 04:00:00+00:00,Long,0.020106275407712124,7,0.5963734419874869,MSFT-AAPL
1,2023-03-20 04:00:00+00:00,2023-03-21 04:00:00+00:00,Short,0.032285479417026794,1,0.5476037831796228,MSFT-AAPL
2,2023-04-26 04:00:00+00:00,2023-05-05 04:00:00+00:00,Long,0.0501461807870259,9,0.4703084099137548,MSFT-AAPL
3,2023-05-05 04:00:00+00:00,2023-05-08 04:00:00+00:00,Short,0.0371903059202664,3,0.4377625332633385,MSFT-AAPL
4,2023-05-26 04:00:00+00:00,2023-06-02 04:00:00+00:00,Short,0.0502409773762553,7,0.7387073073215362,MSFT-AAPL
5,2023-06-27 04:00:00+00:00,2023-07-14 04:00:00+00:00,Long,-0.013165343498926858,17,0.6220293584388011,MSFT-AAPL
6,2023-07-28 04:00:00+00:00,2023-08-08 04:00:00+00:00,Long,0.08426872218418498,11,0.5176435783024825,MSFT-AAPL
7,2023-08-08 04:00:00+00:00,2023-08-29 04:00:00+00:00,Short,0.023835916370066546,21,0.6306432692604711,MSFT-AAPL
8,2023-09-14 04:00:00+00:00,2023-09-20 04:00:00+00:00,Short,0.06432637980561652,6,0.796721303228688,MSFT-AAPL
9,2023-10-26 04:00:00+00:00,2023-11-16 05:00:00+00:00,Short,0.0780838356218072,21,0.6157545455409831,MSFT-AAPL
10,2023-12-06 05:00:00+00:00,2023-12-26 05:00:00+00:00,Long,0.0023811105782937363,20,0.8349029295114937,MSFT-AAPL
23,2023-04-13 04:00:00+00:00,2023-04-20 04:00:00+00:00,Long,0.03029217891615658,7,0.5635167676938533,NVDA-META
24,2023-04-28 04:00:00+00:00,2023-05-09 04:00:00+00:00,Long,0.03686524044987301,11,0.4757765426544533,NVDA-META
25,2023-05-26 04:00:00+00:00,2023-06-26 04:00:00+00:00,Short,-0.014500349479267562,31,0.1593685730400747,NVDA-META
26,2023-08-14 04:00:00+00:00,2023-08-16 04:00:00+00:00,Long,0.029810233830180177,2,0.3765680419716416,NVDA-META
27,2023-08-22 04:00:00+00:00,2023-09-08 04:00:00+00:00,Short,0.0049641022282075585,17,0.2854576573380709,NVDA-META
28,2023-10-18 04:00:00+00:00,2023-10-26 04:00:00+00:00,Long,-0.014957221552793252,8,0.4142730774939925,NVDA-META
29,2023-12-21 05:00:00+00:00,2023-12-29 05:00:00+00:00,Long,0.012431594076547876,8,0.4971851894743562,NVDA-META
